ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
1,1,5000,1000,327,16,23,0,70.74782777928704,3092.943660679958,3163.6914884592456,890.6797735262883,3745.5627027989444,3749.9151967545663,8386.157673079799
2,2,5000,1000,326,22,18,0,908.5026996028498,2329.994991385608,3238.4976909884576,988.8726888898892,3844.1311719360388,3886.604613686401,8719.60847451233
3,3,5000,1000,353,28,23,0,1058.065723974339,2010.5828640741538,3068.648588048493,911.3004876456785,3738.876492060998,3834.437850516151,8484.614830222827
4,4,5000,1000,328,17,26,0,0,3035.7122749462446,3035.7122749462446,1062.6951527959127,3848.7362707768953,3789.8224136441922,8701.253837217
5,5,5000,1000,354,23,32,0,0,3208.0763471492546,3208.0763471492546,873.2062885612575,3755.417012696416,3699.868782880669,8328.492084138343
6,6,5000,1000,321,27,19,0,453.41383627467474,2864.4564435828747,3317.8702798575496,868.7002563875781,3705.7250399583913,3848.2343938442446,8422.659690190214
7,7,5000,1000,344,25,23,0,319.92734229443977,2721.04901570173,3040.97635799617,788.5025886364413,3745.916981348137,3818.254538549083,8352.674108533662
8,8,5000,1000,350,24,27,0,137.1619494953784,3110.1244718045314,3247.2864212999098,909.9827092740745,3705.1770816589756,3733.256519349028,8348.416310282078
9,9,5000,1000,337,21,32,0,420.0724208154314,2610.387381978573,3030.459802794004,1031.8277604215398,3718.7367411267956,3752.229446537892,8502.793948086226
10,10,5000,1000,345,18,15,0,680.7373362805213,2623.879601377307,3304.616937657828,820.9291974555739,3809.5690289052,3869.203527662199,8499.701754022972
11,11,5000,1000,323,14,14,0,395.248851165064,3232.680794875654,3627.929646040718,900.6146640820616,3856.0085772875277,3896.2098653570797,8652.833106726668
12,12,5000,1000,331,19,26,0,478.59438050760855,2851.321469213589,3329.915849721198,812.804711781925,3751.8089064475307,3705.2025403628572,8269.816158592314
13,13,5000,1000,349,33,29,0,483.76593379250573,2463.2895366539983,2947.0554704465044,908.6123578516208,3579.321156861436,3740.1336151095147,8228.067129822572
14,14,5000,1000,310,30,23,0,219.04913544688952,3021.078514463861,3240.1276499107507,852.7932140315849,3695.6314829273874,3811.266521877325,8359.691218836297
