ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
1,1,5000,1000,185,86,103,2.180428113319522,10.762494323791543,534.3712776078496,547.3142000449607,2695.8570655395242,3097.6288887230494,2662.748981953743,8456.234936216317
2,2,5000,1000,178,99,96,0,85.66547909795827,67.65417610101497,153.31965519897324,2879.0657264150195,2869.7502252926074,2986.8950558752954,8735.711007582922
3,3,5000,1000,217,96,100,3.2237875450337015,123.38695355740924,242.82867772593568,369.4394188283786,2643.9515140929884,2993.820410690792,2691.799199287502,8329.571124071283
4,4,5000,1000,184,97,109,0,133.44854206930427,210.9753084626857,344.42385053198996,2664.4208106317187,2794.746506265011,2657.538315389723,8116.705632286453
5,5,5000,1000,203,112,95,9.20920046066908,416.9313656703491,89.9114163098211,516.0519824408393,2711.9480318268193,2704.306013302128,3068.8397533400057,8485.093798468954
6,6,5000,1000,201,102,94,1.2906368294165986,306.7554978446101,178.86090706198001,486.9070417360067,2570.4657477526707,2674.380253554123,2971.594232012166,8216.440233318961
7,7,5000,1000,197,116,91,0,331.91482166226433,69.9808513537223,401.89567301598663,2391.039945599204,2399.5484935885734,3241.8572761874893,8032.445715375266
8,8,5000,1000,208,95,98,1.2066151328331216,122.49375991630541,618.17015579045,741.8705308395886,2711.092244785696,2536.606446042842,2575.1744442532017,7822.87313508174
9,9,5000,1000,184,92,99,22.99526623577367,177.8861991187946,168.6835264901324,369.56499184470067,2628.619250592202,2829.6051614164076,2925.8092492627547,8384.033661271365
10,10,5000,1000,189,102,106,8.255787803216208,403.05127940044645,358.0562922516135,769.3633594552762,2768.39039261488,2647.2182271470806,2788.0309635031535,8203.639583265114
11,11,5000,1000,201,90,96,0,464.6761961872869,379.7404392330384,844.4166354203253,2394.377527893652,3028.07405768688,3004.347281209688,8426.798866790221
12,12,5000,1000,193,89,92,0,271.56524274732374,54.54101593069572,326.10625867801946,2518.89730405575,2826.4167968320367,3040.2777275393028,8385.591828427088
13,13,5000,1000,194,91,88,15.659688372086293,313.1552219095038,302.9318159365753,631.7467262181653,2527.510213290707,3019.6802806538685,2943.895918226551,8491.086412171127
14,14,5000,1000,196,120,90,11.928249433793098,373.8609802861906,98.67863617760054,484.46786589758426,2680.8460631109187,2467.36706018409,2886.7774162696564,8034.990539564666
15,15,5000,1000,158,91,87,0,628.8851206570275,271.0075689253181,899.8926895823456,2836.6575815236115,2719.0343753418706,3010.567574564756,8566.259531430238
16,16,5000,1000,184,85,102,8.556700287927697,387.50385056330697,189.35169950738873,585.4122503586234,2660.7709488571113,2749.755876778352,2811.051324970163,8221.578150605626
17,17,5000,1000,186,116,94,6.229750869317741,252.5792382928479,92.3550000377636,351.16398919992923,2592.6777697605294,2460.2620639395354,2912.534063160274,7965.473896860339
18,18,5000,1000,213,86,106,4.894485417747092,202.84157860167056,0,207.73606401941765,2452.571925637967,2986.7641403855305,2986.168411469903,8425.5044774934
19,19,5000,1000,203,103,95,0,300.80289714812477,301.91429671989727,602.717193868022,2551.573082464074,2683.856024684064,2923.5744896035867,8159.003596751725
20,20,5000,1000,156,111,101,12.223345171864366,581.4557184259494,192.41611800902422,786.095181606838,2894.6593958660246,2538.7678926151557,2975.19870769083,8408.62599617201
21,21,5000,1000,171,98,96,0,268.3916013235678,320.95831581389643,589.3499171374642,2747.46912802364,2833.9844477392585,3063.586677681412,8645.04025344431
22,22,5000,1000,187,108,105,0,311.0996777299481,61.964769303033336,373.06444703298143,2599.4368108773106,2757.5679109774514,2966.603391308994,8323.608113163757
23,23,5000,1000,184,89,103,0,121.78396539803725,579.2534683014173,701.0374336994546,2656.7942660640747,2855.7551453740116,2889.612460282322,8402.161871720407
24,24,5000,1000,189,97,89,16.848054894190682,242.58655835216905,208.90244916497772,468.33706241133746,2751.136299802433,2755.2557573256136,2844.4353472667744,8350.827404394822
25,25,5000,1000,221,93,94,6.897840340079256,403.1385897037874,264.1561234197809,674.1925534636475,2472.174341475649,2566.2568499835197,2880.4123004858857,7918.843491945055
26,26,5000,1000,179,108,99,0,361.9121797096784,138.28150981969156,500.19368952937,2649.9915153151483,2741.463730754711,2934.106149447805,8325.561395517665
27,27,5000,1000,147,101,89,0,471.96633497855373,166.41170592604567,638.3780409045994,2919.5693281335425,2510.614602852812,3027.8231123188903,8458.007043305244
28,28,5000,1000,189,94,97,0,229.48495558896366,160.1457027179158,389.63065830687947,2719.7427229980863,2915.0296298229355,2982.542250587204,8617.314603408226
29,29,5000,1000,219,105,93,0,253.04691843517298,180.60619093872788,433.65310937390086,2519.7510701190868,2549.247256566267,3038.582671504833,8107.5809981901875
30,30,5000,1000,204,104,91,20.773981475326764,382.5351113417205,96.16063926158631,499.46973207863357,2553.180385400514,2742.3846523124316,2895.053445815949,8190.618483528895
31,31,5000,1000,172,91,95,0.960917384550612,285.5190045334598,112.44853132255867,398.92845324056907,2734.7625594635015,2893.2965571714576,2845.599314915785,8473.658431550743
32,32,5000,1000,184,103,102,0,409.9933094379735,19.96436881485579,429.9576782528293,2756.0456076950254,2676.584771314566,2973.328083443522,8405.958462453113
33,33,5000,1000,189,89,95,6.935458224882495,20.052336970397846,68.20951619550306,95.1973113907834,2746.9100361530186,3141.1913238492252,2879.8631124818608,8767.964472484104
34,34,5000,1000,193,88,103,1.4167620976427315,456.2721623876739,101.52293788668612,559.2118623720028,2693.652343943188,2685.741207680436,2721.103405339486,8100.49695696311
35,35,5000,1000,178,99,107,0,252.42984591589402,198.23123911871403,450.66108503460805,2828.7579642504916,2892.6287727926738,2866.7430396867835,8588.12977672995
36,36,5000,1000,174,95,96,0,622.2479610684895,200.10729765893234,822.3552587274219,2723.393378093964,2469.865157810113,2845.3785192404694,8038.637055144546
37,37,5000,1000,203,99,98,4.403576003775925,223.39720899899976,159.2433385630709,387.0441235658466,2619.9165623130716,2641.4579556501662,2921.129408444019,8182.503926407257
38,38,5000,1000,192,71,102,0,168.08098183665106,302.187953228389,470.26893506504007,2589.8067913494915,3049.020116031009,2986.1482876869004,8624.9751950674
39,39,5000,1000,187,111,110,4.748413593233636,291.70909738924206,133.6057508955896,430.0632618780653,2574.2423342505817,2739.041811103546,3035.214597312812,8348.49874266694
40,40,5000,1000,186,96,90,0,678.9938950017296,129.7059473850427,808.6998423867723,2751.2453303849684,2660.8867042194893,2945.3985421859634,8357.530576790421
41,41,5000,1000,175,99,96,4.921668086340333,395.3048906101858,15.756955755218314,415.98351445174444,2797.0367057822245,2660.1172616699864,2890.199883909082,8347.353851361293
42,42,5000,1000,205,79,116,7.817044197330915,76.05730887386517,160.23858964899318,244.11294272018927,2803.7094410895907,2981.356679786458,2684.1059407415787,8469.172061617628
43,43,5000,1000,204,112,102,10.983093090216698,149.1433520979847,184.51728640476404,344.6437315929654,2339.7318563435847,2719.4078601934402,2902.3076179956174,7961.447334532642
44,44,5000,1000,162,104,97,0,461.37941194479936,58.79200246710525,520.1714144119046,2748.7507836250543,2666.8092645497554,2939.462207755342,8355.022255930151
45,45,5000,1000,203,105,90,0,257.60374043514025,131.01302364106823,388.6167640762085,2549.196824104737,2695.9606223394926,2973.321108527313,8218.478554971542
46,46,5000,1000,201,100,78,1.6870429379596317,697.8443763765147,98.68547363711355,798.2168929515879,2426.989604498688,2922.6996229174074,3172.1613589826793,8521.850586398774
47,47,5000,1000,201,101,93,0,335.7779696190629,93.94909644733207,429.72706606639497,2435.9034752955126,2650.1684579647695,3126.1514531924868,8212.22338645277
48,48,5000,1000,198,95,105,0,59.1370401544591,17.808652680035266,76.94569283449437,2372.4463933547304,2831.5020159205383,2725.521110585934,7929.469519861203
49,49,5000,1000,177,109,99,17.77741920963672,459.99484037842103,34.43946757433878,512.2117271623965,2721.921645796736,2625.597810667162,2971.454317452871,8318.973773916769
50,50,5000,1000,174,108,97,0,144.84827310156697,207.70791414716143,352.5561872487284,2684.0394228588666,2586.1838066092373,2996.153872391788,8266.37710185989
51,51,5000,1000,202,108,88,0,515.5876487036685,16.888815128054375,532.4764638317229,2665.510922469619,2688.713404971856,3262.9174355018245,8617.1417629433
52,52,5000,1000,195,87,96,1.5353977770464553,439.76367459316384,212.99469118903244,654.2937635592427,2544.292790918903,2761.7509219028743,2938.474297498001,8244.518010319778
53,53,5000,1000,162,98,96,0,211.96893747273134,147.02019254116408,358.9891300138954,2854.1107496257887,2581.9180366963747,2905.4013035383086,8341.430089860472
54,54,5000,1000,206,91,96,2.3622128272672853,121.6670183601916,10.239463988249554,134.26869517570844,2539.9015606642297,2926.101565061046,3032.796342767251,8498.799468492527
55,55,5000,1000,180,90,99,0,348.91307602018946,159.45745861965202,508.3705346398415,2662.7883340889452,2949.7837945341644,3043.749577913054,8656.321706536164
56,56,5000,1000,181,91,89,1.4473053020810767,376.1616096570401,283.92784204224563,661.5367570013668,2536.133031780831,2829.8625154601923,3040.992078957363,8406.987626198386
57,57,5000,1000,232,89,107,5.8957314186613985,229.40643355811312,295.03714769878866,530.3393126755632,2374.8064849111665,2654.19883723417,2738.470507976827,7767.475830122163
58,58,5000,1000,185,85,109,0,202.04225094298135,169.6392151346406,371.68146607762196,2714.308639408879,2954.5622550353687,2697.8532794454195,8366.724173889666
59,59,5000,1000,187,78,97,4.239147140092882,102.72163471610702,217.3607502470211,324.321532103221,2673.859387609203,3105.3712180751404,2896.2389937856587,8675.469599470001
60,60,5000,1000,189,95,102,0,149.94969924467614,28.177237395497286,178.12693664017343,2597.494735140045,2962.984655785421,2980.6462751060776,8541.125666031543
61,61,5000,1000,195,104,96,2.6636264732660493,174.27194767325886,143.77432682698804,320.70990097351296,2719.63483431804,2735.7314948813655,2849.1693357967492,8304.535664996154
62,62,5000,1000,167,93,75,0,527.5976736657888,71.93258092722226,599.530254593011,2779.685394453542,2708.9485429575557,2995.2493670115286,8483.883304422627
63,63,5000,1000,182,100,94,0,217.6201428416241,18.650792558262765,236.27093539988687,2757.720559621716,2853.74010692808,3007.9831843721813,8619.443850921976
64,64,5000,1000,206,128,110,22.30278515886755,281.8060439003406,107.39053029518226,411.49935935439044,3538.313858965714,3350.226370406676,3845.8529631242177,10734.393192496607
65,65,5000,1000,181,116,86,0,337.78929014363644,79.12824776850312,416.91753791213955,2791.152592913618,2446.7470568771423,2920.464724467521,8158.364374258281
66,66,5000,1000,204,101,105,9.39104802627196,160.1867516862426,178.45623053456416,348.0340302470787,2612.6435645423926,2908.3231314103427,3048.011981020185,8568.97867697292
67,67,5000,1000,153,99,80,0,646.2848515587693,222.55395355725454,868.8388051160239,2896.056692072921,2597.999533847741,3087.57421797829,8581.630443898952
68,68,5000,1000,185,104,100,2.178909798682753,353.03789717344534,129.42774535543322,484.6445523275613,2581.9079860014726,2559.3180839982115,2938.5776605523015,8079.803730551986
69,69,5000,1000,200,93,94,5.746986782421573,417.9048304566712,84.68801460825739,508.3398318473502,2408.9933284864824,2864.9496247987167,3012.1775971113957,8286.120550396594
70,70,5000,1000,189,105,99,0,200.73364374224684,63.16907027768093,263.90271401992777,2723.1439663619126,2765.5634302643684,2989.242424858437,8477.949821484719
71,71,5000,1000,218,81,103,18.428831043133187,45.02055415481709,107.67724405137005,171.12662924932033,2454.476366351506,3028.070810976593,2980.1827715681093,8462.729948896209
72,72,5000,1000,189,83,86,3.6279773666942674,190.23719003385168,191.58716162860674,385.4523290291527,2543.0322766282347,2801.95554007468,2959.9344446144273,8304.922261317342
73,73,5000,1000,191,103,90,0,374.01559068405595,71.17906204443216,445.1946527284881,2584.8805202833155,2944.440296310954,2984.839478275041,8514.16029486931
74,74,5000,1000,191,86,112,6.531326838994573,79.2175311982171,94.93923940838386,180.68809744559553,2712.231803810707,3004.9269749014106,2802.157134616091,8519.315913328208
75,75,5000,1000,183,116,92,0,416.523326190735,149.67969958375033,566.2030257744854,2761.3131981680185,2553.4256601514694,2978.4966580080254,8293.235516327513
76,76,5000,1000,158,101,87,1.149467561005622,206.79667576001157,87.759764955229,295.7059082762462,2876.281287112217,2612.3012163670837,3050.2483274719984,8538.8308309513
77,77,5000,1000,198,110,95,21.067964216968903,346.1869077671165,298.3230341458234,665.5779061299088,2672.940885391264,2591.6563152090375,2849.3463229622303,8113.9435235625315
